AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM2.5
17,2,0.58,0.15,1.4,20.1,21.5,13,71,0,87,3.9,2.1,10,7,1.6,1.2,26
17,1.97,0.52,0.13,1.3,14.8,16.1,20,68,0,87,3.5,2.09,17,22,1.5,1.5,31
16.8,2,0.68,0.17,1,17.6,18.6,15,75,0,87,4.7,2.16,23,29,2.5,1.8,35
16.6,1.99,0.68,0.13,1.3,21.1,22.4,11,69,0,86,4.9,2.12,27,22,2.3,1.9,40
16.5,1.99,0.57,0.17,1.4,17,18.4,14,69,0,86,3.3,2.16,25,17,2.1,2.2,35
16.4,2.07,0.65,0.2,2.6,26.4,28.9,5,61,0,86,3.5,2.27,19,17,1.6,1.4,30
16.6,2.2,0.93,0.25,11.3,26.1,37.4,5.8,69,0,86,3.7,2.5,19,22,1.4,1.3,29
18.2,2.18,1.21,0.37,16.7,29.7,46.4,11,73,0,80,5.4,2.54,30,41,2,1.4,37
19.7,2.1,0.95,0.32,12.6,27.6,40.2,20,81,0,75,7.7,2.42,41,35,1.6,1.8,38
21.3,2.03,0.84,0.24,10.3,26.2,36.5,30,90,0,70,5.9,2.27,348,325,1.8,1.4,45
23,1.96,0.72,0.21,5.8,22.3,28.1,46,94,0,64,5.3,2.17,286,337,1.7,0.3,43
23.8,1.92,0.56,0.13,2.8,13,15.9,64,89,0,63,4.6,2.05,283,305,2.4,1.7,44
23.8,1.9,0.46,0.11,2.2,10.4,12.6,66.1,82,0,68,3.9,2,303,302,2.6,2.1,40
23.4,1.8,0.44,0.11,1.8,11.5,13.3,64.7,95,0,71,3.7,1.9,331,330,2.7,2.1,37
22.7,1.83,0.45,0.1,1.8,11.1,12.9,64,96,0,72,3.4,1.93,335,335,3,2.2,34
21.9,1.83,0.54,0.14,1.4,16.1,17.6,55,102,0,76,3.6,1.98,342,344,2.6,2.3,32
20.5,1.84,0.66,0.19,1.4,20.4,21.8,45,77,0,83,3.3,2.03,340,345,2.1,2.1,33
19.5,1.9,0.73,0.22,1.2,22.7,23.9,36.8,82,0,88,3,2.1,347,351,1.8,1.5,33
19,1.88,0.61,0.19,1.2,19.8,21,35,82,0,89,2.7,2.07,9,0,1.7,1.3,32
18.5,1.89,0.51,0.14,1.3,15.9,17.3,35,91,0,89,2.3,2.03,14,5,1.5,1.7,36
18.3,1.91,0.59,0.19,1.3,18.7,20,29,92,0,90,2.2,2.09,17,26,1.5,1.6,38
18.1,1.92,0.54,0.22,1.3,22,23.3,22,91,0,92,2.6,2.14,32,26,1.1,1.5,41
18.1,2,0.62,0.26,1.6,28.9,30.5,11.4,94,0,92,2.7,2.3,29,37,0.9,0.7,42
17.9,2,0.51,0.22,1.6,23.3,24.8,14.3,95,0,93,2.1,2.2,13,18,0.9,0.9,43
17.7,1.97,0.44,0.23,1.5,19.4,20.9,18,93,0,94,2,2.2,3,3,1.5,1,39
17.6,1.94,0.33,0.09,1.3,9,10.3,28,81,0,96,1.4,2.03,6,45,0.9,1,35
17.5,1.92,0.31,0.09,1.6,7.9,9.5,28,66,0,97,1.4,2.01,43,26,0.8,0.6,31
17.6,1.94,0.33,0.19,1.4,10,11.4,24,64,0,96,1.7,2.12,59,88,0.7,0.7,23
17.3,2,0.37,0.21,1.4,15.3,16.7,14,69,0,97,1.5,2.19,94,91,0.9,0.8,26
16.9,2,0.48,0.22,2.9,23.3,26.1,5.7,85,0,99,1.3,2.3,81,73,1.3,0.8,24
16.9,2.06,0.86,0.32,14.8,26.9,41.6,4,87,0,100,1.5,2.39,73,76,0.7,0.7,35
18,1.98,1.17,0.43,16.1,31.2,47.3,12,92,0,96,2.8,2.4,70,73,1.2,1,38
20.2,1.89,0.83,0.38,8.9,27.2,36.2,30,138,0,83,3.8,2.27,41,21,1.4,1.1,48
21.6,1.84,0.49,0.19,4.2,16.5,20.7,45,132,0,76,2.9,2.03,2,345,1.8,1.3,46
22.3,1.83,0.43,0.12,2.7,11,13.7,53,128,0,72,2.3,1.94,356,1,2.4,1.3,36
23.3,1.8,0.43,0.1,2.1,9.5,11.5,60.4,78,0,68,2.1,1.9,351,353,1.8,1.4,21
23.8,1.82,0.38,0.08,1.8,7.8,9.6,67,79,0,66,2.1,1.9,345,345,1.8,1.2,26
24.3,1.81,0.38,0.09,1.7,8.7,10.4,66,0,0,64,2.1,1.9,301,282,2.5,1.6,1
23.3,1.8,0.34,0.08,1.8,8.2,10,56,65,0,67,1.7,1.88,274,283,2.3,2.4,31
22.1,1.81,0.4,0.1,1.7,9.8,11.4,60,61,0,73,1.8,1.91,277,280,2.5,1.9,33
20.9,1.8,0.52,0.13,1.6,14.2,15.7,58.4,67,0,81,1.9,2,325,325,2,1.7,25
20.6,1.84,0.59,0.17,1.6,17.3,18.9,55,65,0,83,2.1,2,338,348,2.6,2.1,27
20,1.83,0.58,0.16,1.2,16.8,18,54,68,0,84,1.9,1.98,360,7,1.7,1.8,37
19.6,1.85,0.55,0.22,1.4,18.4,19.8,50,70,0,85,2.1,2.07,33,38,1.7,1.4,43
19.3,1.91,0.58,0.31,1.4,20.8,22.2,45,85,0,88,2.4,2.21,26,27,1,1.4,44
19.2,1.98,0.64,0.24,1.4,22.1,23.5,35,103,0,89,2.5,2.21,17,356,0.9,0.8,45
19,2,0.63,0.25,1.4,21.8,23.2,31.2,116,0,90,3,2.3,344,334,1.2,0.5,58
18.6,2,0.53,0.2,1.3,16.2,17.5,36.5,120,0,92,3,2.2,39,57,0.9,0.6,71
18.5,2.04,0.54,0.26,1.5,17,18.5,30,123,0,92,3.7,2.3,42,19,1.7,0.8,78
18.4,2.03,0.46,0.3,1.6,24.8,26.4,19,116,0,93,4.1,2.32,51,74,1.3,1.3,66
18.1,2.1,0.43,0.24,0.7,17.1,17.8,23.1,112,0,93,3.8,2.3,70,71,1,1.1,63
18.2,2.01,0.42,0.17,0.3,13.3,13.7,28,107,0,91,3.4,2.18,45,35,1.3,0.8,63
18.8,1.95,0.52,0.19,0.3,17.1,17.5,28,112,0,88,4.6,2.15,40,66,0.6,0.7,64
19,2.01,0.63,0.27,0.7,29.3,29.9,18,115,0,87,4.7,2.28,57,75,0.6,0.4,66
19.2,2.05,1.05,0.46,7.5,43.5,51,8,126,0,86,4.9,2.51,15,359,1.8,1.1,66
19.4,2.02,0.94,0.39,5.7,32.9,38.7,16,130,0,86,4.9,2.41,6,18,2.5,1.8,72
20,2,0.58,0.24,3.8,20.8,24.6,26.1,120,0,85,3.9,2.2,20,15,3.1,0.9,60
20.7,1.9,0.5,0.2,2.2,17.2,19.4,36.1,105,0,80,3.8,2.1,30,36,2.9,2.5,52
22.1,1.91,0.46,0.19,2.5,16.2,18.8,45,102,0,72,3.9,2.1,40,78,2,1.4,50
22.9,1.93,0.54,0.2,1.9,16.8,18.8,53,108,0,69,4.1,2.13,294,278,3.2,1.4,50
21.8,1.86,0.4,0.11,1.4,12.8,14.2,43,109,0,79,2.9,1.97,326,334,2.8,2.7,45
21.1,1.82,0.38,0.11,1.2,13,14.2,38,98,0,81,2.6,1.93,354,2,3,2.8,38
20.5,1.8,0.43,0.16,1.2,16,17.3,33.1,95,0,83,2.5,2,19,33,2.7,2.6,39
19.7,1.9,0.49,0.22,1.3,22.4,23.8,23.1,100,0,89,2.4,2.1,30,35,1.7,2.2,41
19.1,1.91,0.72,0.32,2.9,32.7,35.6,10,96,2.8,94,2.4,2.23,19,355,1.5,1.2,40
17.7,1.84,0.57,0.2,1.1,21.1,22.1,26,76,4,94,2.1,2.03,9,13,2,1.4,37
17.8,1.86,0.54,0.22,0.7,22.7,23.3,22,48,1.8,95,2,2.09,11,3,1.9,1.3,33
17.6,1.85,0.43,0.17,0.3,16.4,16.8,29,40,1.6,95,1.9,2.02,18,30,1.3,1.2,31
17.9,1.9,0.53,0.28,0.8,24.4,25.2,17,45,1.6,94,2.2,2.19,20,356,1.4,1.1,31
18.3,2,0.49,0.21,1,20.9,21.9,13.2,47,2.6,97,2,2.2,18,5,1.5,1.4,31
18.2,1.92,0.32,0.15,0.7,14.3,15,19,37,1.8,97,1.8,2.08,26,27,1.2,1.3,27
18,1.89,0.34,0.18,0.3,14.5,14.9,21,33,0.6,96,1.9,2.07,31,17,1.3,1.2,26
18.1,1.92,0.37,0.18,0.7,18.1,18.8,12,36,0.6,97,1.5,2.1,17,21,1.6,1.3,25
18.1,1.97,0.37,0.21,0.9,21.7,22.6,6,48,0.4,97,1.4,2.18,22,30,1.7,1.5,35
17.9,1.95,0.33,0.21,1.8,18.4,20.2,7,54,1,97,1.4,2.17,19,16,1.8,1.6,32
17.5,1.97,0.33,0.16,1.8,15.5,17.2,10,55,0.4,97,1.4,2.12,26,27,1.9,1.7,28
17.4,1.9,0.32,0.17,1.6,14.5,16.1,13.1,48,0.6,97,1.5,2.1,21,14,1.8,1.6,21
17.4,1.97,0.4,0.17,1.8,18.9,20.7,8,45,0.2,97,1.4,2.13,1,333,1.5,1.2,26
17.7,1.97,0.66,0.28,11.4,22.9,34.2,3,46,0,97,1.8,2.25,13,22,1.5,1.5,33
18.1,1.96,0.7,0.32,14.6,22.2,36.7,4,56,0,96,2.2,2.27,24,25,2.8,1.9,37
18.7,1.97,0.53,0.27,13.8,20.4,34.3,8,59,0.2,94,2.4,2.24,20,19,2.7,2.2,35
20.4,1.9,0.48,0.24,10.6,17.7,28.3,14.6,51,0,87,2.4,2.2,23,1,2.6,1.7,26
21.3,1.9,0.49,0.21,8.6,15.8,24.5,19,42,0,83,2.1,2.11,326,299,2.6,0.8,22
21.7,1.85,0.45,0.14,5,11.8,16.8,29,39,0,81,2.2,1.99,305,254,3.2,1,20
22.1,1.85,0.42,0.13,4.6,12.8,17.5,28,40,0,79,2.8,1.99,332,351,2.5,0.8,19
22.1,1.86,0.44,0.17,4.1,15.3,19.3,25,48,0,80,2.5,2.03,269,232,2.1,0.6,24
21.3,1.9,0.44,0.17,4.2,16.8,21.1,22.4,55,0,82,2.7,2,338,335,2.9,0.8,22
20.6,1.87,0.5,0.21,4.3,23,27.3,13,65,0,83,2.8,2.08,348,358,2.2,0.6,27
19.8,1.88,0.6,0.25,4.2,23.5,27.7,11,62,0,85,2.6,2.13,3,14,2.9,0.5,17
19.2,1.89,0.56,0.21,2.8,24.5,27.3,9,56,0,86,2.6,2.1,18,18,2.8,1.4,21
18.9,1.91,0.59,0.26,5.1,29.4,34.5,3,50,0,87,3,2.16,21,18,2.2,1.3,18
18.7,1.9,0.58,0.25,6.7,29.5,36.2,1.3,43,0,86,2.9,2.2,17,16,2,1.4,20
18.3,1.9,0.5,0.24,5.8,26.8,32.5,1.7,40,0,87,2.5,2.2,19,20,2.6,1.1,16
17.7,1.93,0.49,0.18,4.2,21.7,25.9,3,39,0.2,90,2.2,2.12,39,20,3,0.5,18
17.3,1.91,0.43,0.16,2.8,20.1,22.9,4,39,0.2,92,2.1,2.07,19,18,2.3,1.4,20
17.1,1.93,0.42,0.17,3,22,25,2,44,0,93,2,2.1,20,25,2.5,1.3,20
17,1.94,0.42,0.14,2.4,18.2,20.6,4,36,0,93,2.2,2.08,19,19,2.6,1.6,16
16.8,1.97,0.46,0.11,2.3,19.6,21.9,3,34,0.8,95,2,2.08,20,17,1.8,1.3,13
16.7,2,0.46,0.17,2.8,22.2,24.9,1.2,23,0.2,96,1.9,2.1,21,23,1.1,1,13
16.7,2,0.41,0.18,3,22,25,1.1,27,0,96,1.7,2.1,28,22,0.7,0.6,9
16.7,1.98,0.39,0.2,4.1,22.4,26.5,1,30,0.2,97,1.6,2.18,33,101,1.1,0.4,9
16.7,1.97,0.39,0.2,4.1,20.9,24.9,1,27,0.2,97,1.5,2.17,68,150,1.5,0.4,12
16.6,1.98,0.46,0.23,6.5,19.5,26,2,20,1.6,98,1.7,2.21,22,15,1.6,1,16
16.9,2.04,0.63,0.33,19.8,21.3,41.1,3,18,1.4,98,2,2.37,19,25,1.6,1.5,16
17.7,2.1,0.75,0.4,33.3,24.1,57.4,3,30,0,97,2.3,2.5,37,39,0.9,0.8,23
18.1,2.1,0.7,0.39,26.6,22.6,49.2,4.8,39,0,96,2.3,2.5,112,92,1.6,1,32
18.5,2,0.67,0.35,17,22.9,39.9,6.7,45,0,94,2.2,2.4,68,63,1.6,0.8,35
19.2,1.95,0.64,0.27,11.1,19.1,30.2,14,38,0,91,2.3,2.23,40,26,1.8,1,31
19.2,1.95,0.62,0.19,7.1,18.8,26,13,37,0,90,2.1,2.14,47,69,1.6,1,32
19.4,1.92,0.54,0.16,7.3,17.8,25.1,13,37,0,89,2.2,2.09,62,46,2.2,1.1,28
19.2,1.89,0.48,0.16,4.6,16.8,21.4,16,36,0,92,1.8,2.05,44,26,2,1,25
19,1.9,0.47,0.16,3,16.5,19.5,19.4,36,0,93,1.5,2,24,24,1.6,1.4,21
19,1.9,0.58,0.21,2.2,20.7,22.9,16,36,0,92,1.7,2.11,25,34,1.6,1.3,19
18.8,1.9,0.52,0.2,2.2,18.1,20.3,18,42,0.8,93,1.7,2.1,75,88,2.2,1,21
18.5,1.89,0.5,0.17,2,18.1,20.1,15,40,0.4,96,1.6,2.06,50,20,2,1,16
18.4,1.9,0.46,0.15,2.2,18.5,20.7,10.5,32,0,97,1.5,2.1,24,32,2.2,1.3,16
18.3,2,0.54,0.19,3.7,21.9,25.6,4.8,38,0,96,1.6,2.1,31,22,2.5,1.5,22
18.3,1.93,0.42,0.15,2.4,16,18.4,10,27,0.2,96,1.4,2.08,29,31,1.1,1.4,22
18.2,1.93,0.41,0.16,2,18.2,20.3,8,20,0.6,98,1.5,2.09,20,20,2.2,2,19
18.1,1.9,0.31,0.11,1.7,11.4,13.1,19,5,0.4,98,1.3,2.01,32,36,2.3,1.5,2
18,1.88,0.23,0.05,1.4,5.7,7.1,27,5,0.2,98,1.2,1.94,19,13,2.7,2.1,2
18,1.9,0.23,0.06,1.2,6.8,8,25.3,5,0,98,1.3,1.9,18,17,2,1.8,6
18,1.9,0.24,0.06,1.5,9.6,11.1,21.5,5,0,98,1.2,1.9,29,31,1.8,1.6,5
18.1,1.88,0.25,0.06,1.7,8.1,9.8,22,12,0,98,1.2,1.93,34,41,2.5,1.4,7
18,1.84,0.24,0.06,1.2,7.5,8.7,26,13,0,97,1.2,1.9,24,24,2.3,2,4
18,1.86,0.28,0.09,1.2,10.9,12.2,20,11,0,97,1.2,1.95,24,24,2.7,1.9,11
18,1.85,0.31,0.09,1.5,10.5,12,22,5,0,96,1.3,1.94,26,26,2.9,2.2,6
18.3,1.9,0.33,0.1,2.2,11.6,13.8,20.4,11,0,95,1.3,2,19,14,3.1,2.4,7
19,1.8,0.28,0.09,3,10.7,13.7,29.5,18,0,88,1.7,1.9,19,15,2,2.2,4
19.7,1.81,0.32,0.1,3.3,12.9,16.2,27,15,0,86,1.9,1.91,21,38,2,1.9,1
21.2,1.84,0.36,0.12,4.5,13.1,17.6,28,20,0,82,2,1.96,27,27,1.4,1.5,8
22,1.86,0.46,0.16,4.1,14.4,18.5,31,24,0,79,2,2.02,33,43,1.1,1.1,10
22.8,1.89,0.59,0.18,3.8,17.2,21,33,30,0,77,2.1,2.07,26,30,1.7,1.3,14
23.9,1.89,0.57,0.17,3.8,16.1,20,42,35,0,73,2.4,2.06,59,77,1.6,1.1,19
23.7,1.9,0.42,0.14,3.6,14.4,18,37.2,36,0,75,2,2,80,82,2.1,1.9,21
22.9,1.87,0.44,0.14,2.6,13.6,16.2,34,34,0,78,1.8,2.01,59,76,2.7,1.5,25
22,1.87,0.47,0.15,2,14.8,16.9,30,35,0,80,1.9,2.02,46,29,2,1.5,16
21,1.86,0.45,0.16,1.4,16.4,17.8,22,35,0,82,1.7,2.02,20,14,1.6,1.5,15
20.7,1.92,0.61,0.24,2.1,23.9,25.9,12,33,0,84,1.8,2.16,29,27,0.8,1,12
20.9,1.99,0.74,0.28,3.1,31,34.1,5,37,0,85,2.4,2.26,42,42,1.4,1,11
21,2.01,0.65,0.25,4.2,29.3,33.5,4,37,0,87,3.4,2.26,49,51,1.3,1.4,17
20.8,2.1,0.64,0.24,3.9,25.4,29.3,4.2,50,0,89,2.7,2.3,52,48,0.7,0.9,22
20.8,2.11,0.63,0.24,2.7,22.9,25.5,8,40,0,90,2.3,2.35,54,55,0.4,0.6,30
21,2,0.49,0.21,1.6,17.8,19.4,19,43,0,92,2.1,2.21,72,50,0.4,0.5,26
21,2.11,0.63,0.29,1.6,20.1,21.7,13,38,0,92,2.1,2.4,31,14,0.8,0.5,22
20.5,2.19,0.59,0.34,1.9,25.2,27.1,4,49,0,93,1.9,2.53,29,24,0.6,0.6,19
20.2,2.24,0.61,0.34,7.5,27.1,34.6,1,58,0,94,2.2,2.58,18,13,1,1,18
20.4,2.1,0.47,0.24,4.2,23.4,27.6,3.7,60,0,93,2.7,2.3,14,14,1.2,1.2,19
20.7,2,0.42,0.18,2.6,21.4,24,8,48,0,92,3.1,2.18,24,30,1.2,1.3,18
20.8,1.95,0.43,0.16,2.5,15.5,18,12,34,0,92,3,2.11,33,38,1.3,1.4,22
21.4,1.93,0.91,0.28,8.3,23.7,32,5,41,0,89,3.3,2.2,50,54,0.6,0.6,24
22.6,1.95,1,0.31,22,23.6,45.6,4,51,0,85,3.7,2.26,46,48,1.5,1.2,21
25.2,1.87,0.58,0.21,16,22.3,38.3,14,56,0,75,4.5,2.08,55,59,3,2.4,18
26.4,1.8,0.49,0.19,8.4,19.5,27.9,22.7,45,0,72,4.6,2,58,63,2.9,2.7,15
26.8,1.74,0.32,0.06,5.5,14.6,20.1,25,36,0,72,5.4,1.8,66,65,2.5,2.7,19
25.7,1.74,0.27,0.05,5.4,15.6,21,23,31,0,78,3.9,1.8,71,71,2,2.5,14
25.8,1.74,0.23,0.05,3.6,8.4,12,27,26,0,79,2.3,1.78,75,83,2.1,2.5,16
22.1,1.76,0.28,0.11,2.7,10.1,12.8,24,29,0.4,85,1.4,1.86,47,21,4.1,1.9,9
19.8,1.8,0.31,0.16,3.5,14.9,18.4,20.2,21,1,92,1.6,1.9,24,28,3.2,2.5,6
19.3,1.8,0.32,0.16,3.1,13.9,17,22.5,22,2.8,93,1.5,1.9,23,32,3.9,3.2,1
19.7,1.78,0.5,0.2,3.4,20.6,23.9,18,18,0,90,1.8,1.98,27,26,2.9,2.7,6
20.3,1.79,0.47,0.18,3,18.4,21.3,19,22,0,84,1.8,1.96,12,19,3.7,2.3,10
20.3,1.77,0.33,0.13,2.4,12.7,15,24,19,0,82,1.6,1.9,18,22,2.9,2.8,4
20.4,1.78,0.35,0.1,2.2,10.6,12.8,27,19,0,79,1.4,1.88,18,12,3,2.3,5
20.3,1.81,0.39,0.11,2.1,12.3,14.5,24,17,0,79,1.4,1.92,1,356,2.6,2.1,1
20,1.81,0.34,0.09,2.3,10.2,12.5,25,14,0,82,1.3,1.9,2,13,3.2,2.1,1
19.9,1.83,0.25,0.06,2.1,8.2,10.3,26,5,0,83,1.4,1.89,2,9,3.4,2.6,1
19.5,1.8,0.26,0.05,2.2,5.6,7.8,26.2,10,0,86,1.6,1.9,5,8,4.5,3.1,1
18,1.86,0.47,0.09,2,8.4,10.5,18,11,0,91,1.3,1.95,13,14,3.7,3.2,1
17.6,1.88,0.53,0.1,2.2,13.2,15.4,14,5,0,90,1.7,1.98,12,13,4.2,3.3,1
17.1,1.9,0.44,0.09,1.2,8.6,9.8,17.6,5,0.2,91,1.3,2,6,17,5,3.9,1
14.8,1.9,0.56,0.1,1.1,10.4,11.5,14.5,5,0.2,94,1.2,2,17,22,4.5,4.6,1
14.3,1.91,0.55,0.11,1.3,10.2,11.5,15,17,0,94,1.2,2.02,20,8,3,2.5,1
13.8,1.93,0.61,0.13,1.5,11.6,13.1,12,15,0,94,1.2,2.06,13,21,4.1,2.8,1
13.6,1.94,0.72,0.17,2.7,14.9,17.6,10,10,0,93,1.3,2.11,18,23,2.8,2.8,4
13.4,1.9,0.74,0.16,3.9,19.1,23,8.3,5,0,94,1.3,2.1,17,20,3.1,3.3,7
13.3,1.9,0.65,0.18,4.4,18.5,23,12.7,13,1,95,1.3,2.1,8,6,2.7,2.3,11
12.9,1.94,0.59,0.17,3.2,15.5,18.6,17,13,1,96,1.3,2.11,16,10,2.9,2.4,9
12.9,1.95,0.65,0.19,4.8,19.4,24.2,15,17,0,95,1.4,2.14,19,355,2.6,2.3,7
12.8,1.93,0.65,0.18,5.5,18.5,24.1,18,20,0,94,1.4,2.11,19,27,2.6,2.7,10
12.7,1.92,0.58,0.17,3.7,16.9,20.6,20,24,0,92,1.4,2.1,2,360,3,2.5,14
12.4,1.91,0.55,0.18,3.1,16.2,19.3,22,25,0,92,1.5,2.09,16,9,2.8,2.6,17
12,1.9,0.52,0.17,2.6,16.9,19.5,22.1,25,0.2,94,1.4,2.1,3,11,3,2.3,17
12.2,1.9,0.6,0.21,2.8,21,23.8,18,31,0,91,1.6,2.12,10,5,3.3,2.6,20
12.1,1.92,0.68,0.24,3,25.2,28.2,14,45,0.4,90,1.7,2.16,22,32,2.4,2.4,23
11.9,1.93,0.69,0.24,2.8,27.2,30,11,47,0.6,94,1.7,2.17,17,19,3.1,2.6,23
11.9,1.95,0.7,0.28,3.3,31.3,34.6,6,55,0,95,1.8,2.23,27,12,2.1,2.2,28
12,1.98,0.66,0.24,3.6,26.4,29.9,8,44,0,95,1.6,2.22,357,1,2.5,2,34
11.6,1.9,0.56,0.17,1.9,17.4,19.3,16.4,48,0.2,95,1.5,2.1,14,18,3.5,2.7,37
11.3,1.91,0.44,0.14,1.5,13.7,15.2,25,43,0.2,92,1.5,2.05,23,17,2.8,2.6,35
11.5,1.88,0.37,0.1,1.3,10.6,11.9,28,38,0,88,1.5,1.99,11,23,2.5,2.5,24
11.5,1.88,0.35,0.1,1.3,8.8,10,29,31,0,81,1.2,1.98,20,22,4,3,24
11.5,1.85,0.26,0.09,1.2,7.1,8.3,33,28,0,76,1,1.94,16,14,3.3,3,21
10.8,1.8,0.21,0.05,1.2,4.5,5.7,36.4,29,0,72,0.5,1.9,15,10,3.5,3.3,21
10.7,1.8,0.21,0.05,1.2,2.3,3.5,36.5,27,0.2,69,0.5,1.9,14,16,3.5,3.2,11
10.7,1.83,0.22,0.06,1.4,4.3,5.6,35,19,0,69,1,1.89,19,21,3,3.3,5
10.9,1.85,0.27,0.06,1.5,7.1,8.6,32,20,0,70,1.2,1.91,19,15,3.8,2.9,4
11.1,1.86,0.29,0.07,1.5,10.9,12.4,29,20,0,69,1.7,1.93,20,23,3.5,3,7
10.9,1.86,0.43,0.14,2.2,16,18.2,25,26,0,73,1.6,2,17,18,3.5,3.1,13
11.2,1.9,0.48,0.22,3.4,18.6,22,24,28,0.2,77,1.7,2.1,13,4,3.1,2.7,18
12.3,1.88,0.43,0.19,5,16.7,21.7,27,41,0,74,2,2.07,12,13,4.3,3,21
13.4,1.86,0.41,0.14,3.9,12,15.9,34,47,0,62,2.1,2,19,19,5.2,4.7,18
14.4,1.86,0.42,0.13,4.3,12.3,16.6,37,52,8.2,59,2,1.99,22,4,3.9,3.6,16
15.8,1.82,0.43,0.15,5.5,13.1,18.6,38,0,0,56,2.4,1.97,24,35,4.3,3.6,0
16.7,1.9,0.43,0.15,5.1,13.5,18.5,40.4,49,0,54,2.3,2,18,9,3.6,3.1,8
17.2,1.9,0.45,0.15,4.4,15.2,19.5,42.9,50,0,53,2.4,2,27,33,3.1,2.6,16
17.5,1.86,0.46,0.17,3.6,16.6,20.2,47,50,0,55,2.5,2.04,27,25,3.1,2.4,20
16.3,1.85,0.47,0.2,2.9,18.9,21.8,41,52,0,59,3.3,2.05,9,23,2.9,2.6,35
14.7,1.84,0.49,0.2,2.2,19.9,22.1,37,61,0,61,3.3,2.04,13,16,3,3,30
13.6,1.84,0.44,0.17,1.9,19.6,21.5,34,60,0,62,3.3,2.01,17,34,3.1,3.1,25
13,1.8,0.43,0.2,1.8,21.5,23.2,29.7,67,0,60,2.6,2,19,13,4,2.8,24
12.5,1.9,0.37,0.18,1.6,19,20.7,30,56,0,59,2.4,2,12,9,4,3,25
12.2,1.86,0.36,0.19,1.5,18.3,19.7,28,51,0,57,2.3,2.05,15,9,3.6,3,22
12,1.86,0.4,0.13,1.6,18.8,20.4,25,39,0,55,3.8,1.99,14,15,3.6,3.2,18
11.6,1.86,0.33,0.13,1.4,17.5,19,26,38,0,53,2.8,1.99,18,10,3.2,2.9,18
11.8,1.9,0.32,0.11,1.4,15.7,17.1,26.6,33,0,52,3.6,2,15,20,3.7,3.2,19
12.2,1.8,0.33,0.08,1.6,13.7,15.4,31.2,35,0,49,5.5,1.9,17,20,5.1,3.9,15
